,Unnamed: 0,name_unoriented,determinant,num_crossings,matrix_zero,components,jones_factorable,jones_determinant,smooth_four_genus,mod32_equivalent
0,L12n84,L12n84,0,12,True,2,True,-23,,True
1,L12n399,L12n399,0,12,True,2,True,-71,,True
2,L12n418,L12n418,0,12,True,2,True,-71,,True
5,L12n520,L12n520,0,12,True,2,True,-71,,True
6,L12n529,L12n529,0,12,True,2,True,-71,,True
10,L12n817,L12n817,0,12,True,2,True,-95,,True
11,L12n910,L12n910,0,12,True,2,True,-95,,True
15,L12n1180,L12n1180,0,12,True,2,True,-63,,True
16,L12n1181,L12n1181,0,12,True,2,True,-63,,True
18,L12n1200,L12n1200,0,12,True,2,True,33,,True
20,L12n1202,L12n1202,0,12,True,2,True,-31,,True
29,L12n1327,L12n1327,0,12,True,2,True,-63,,True
30,L12n1333,L12n1333,0,12,True,2,True,-71,,True
31,L12n1375,L12n1375,0,12,True,2,True,-95,,True
32,L13n118,L13n118,0,13,True,2,True,-23,,True
33,L13n754,L13n754,0,13,True,2,True,-119,,True
34,L13n759,L13n759,0,13,True,2,True,-119,,True
35,L13n760,L13n760,0,13,True,2,True,-119,,True
37,L13n1488,L13n1488,0,13,True,2,True,-143,,True
38,L13n1494,L13n1494,0,13,True,2,True,-143,,True
39,L13n1627,L13n1627,0,13,True,2,True,-115,,True
40,L13n1704,L13n1704,0,13,True,2,True,-143,,True
41,L13n1707,L13n1707,0,13,True,2,True,-143,,True
42,L13n1806,L13n1806,0,13,True,2,True,-115,,True
43,L13n1999,L13n1999,0,13,True,2,True,-115,,True
44,L13n2010,L13n2010,0,13,True,2,True,-115,,True
46,L13n2050,L13n2050,0,13,True,2,True,-87,,True
49,L13n2151,L13n2151,0,13,True,2,True,-87,,True
51,L13n2407,L13n2407,0,13,True,2,True,-119,,True
52,L13n2421,L13n2421,0,13,True,2,True,-87,,True
53,L13n2430,L13n2430,0,13,True,2,True,-87,,True
56,L13n3056,L13n3056,0,13,True,2,True,-95,,True
59,L13n4821,L13n4821,0,13,True,2,True,-95,,True
60,L13n4994,L13n4994,0,13,True,2,True,37,,True
63,L13n5153,L13n5153,0,13,True,2,True,-27,,True
75,L13n5556,L13n5556,0,13,True,2,True,37,,True
78,L13n5616,L13n5616,0,13,True,2,True,-27,,True
79,L13n5626,L13n5626,0,13,True,2,True,-59,,True
84,L13n5639,L13n5639,0,13,True,2,True,65,,True
86,L13n5689,L13n5689,0,13,True,2,True,-63,,True
90,L13n6360,L13n6360,0,13,True,2,True,-63,,True
94,L13n6535,L13n6535,0,13,True,2,True,97,,True
95,L13n6537,L13n6537,0,13,True,2,True,-95,,True
99,L14n756,L14n756,0,14,True,2,True,-71,,True
101,L14n1004,L14n1004,0,14,True,2,True,-23,,True
102,L14n1449,L14n1449,0,14,True,2,True,-71,,True
105,L14n1639,L14n1639,0,14,True,2,True,-71,,True
106,L14n6154,L14n6154,0,14,True,2,True,-239,,True
107,L14n6168,L14n6168,0,14,True,2,True,-71,,True
109,L14n6558,L14n6558,0,14,True,2,True,-167,,True
110,L14n6620,L14n6620,0,14,True,2,True,-95,,True
111,L14n6789,L14n6789,0,14,True,2,True,-95,,True
112,L14n6832,L14n6832,0,14,True,2,True,-71,,True
114,L14n7118,L14n7118,0,14,True,2,True,-239,,True
116,L14n7239,L14n7239,0,14,True,2,True,-143,,True
118,L14n7360,L14n7360,0,14,True,2,True,-71,,True
119,L14n7392,L14n7392,0,14,True,2,True,-143,,True
120,L14n7407,L14n7407,0,14,True,2,True,-239,,True
122,L14n7998,L14n7998,0,14,True,2,True,-115,,True
124,L14n8183,L14n8183,0,14,True,2,True,-239,,True
125,L14n8455,L14n8455,0,14,True,2,True,-115,,True
127,L14n8537,L14n8537,0,14,True,2,True,-143,,True
128,L14n8543,L14n8543,0,14,True,2,True,-239,,True
131,L14n8736,L14n8736,0,14,True,2,True,-143,,True
133,L14n8793,L14n8793,0,14,True,2,True,-239,,True
134,L14n8803,L14n8803,0,14,True,2,True,-167,,True
135,L14n8810,L14n8810,0,14,True,2,True,1,,True
136,L14n8835,L14n8835,0,14,True,2,True,-239,,True
139,L14n9080,L14n9080,0,14,True,2,True,-207,,True
141,L14n9115,L14n9115,0,14,True,2,True,-207,,True
145,L14n9145,L14n9145,0,14,True,2,True,-115,,True
146,L14n9152,L14n9152,0,14,True,2,True,-115,,True
151,L14n9290,L14n9290,0,14,True,2,True,-91,,True
157,L14n9635,L14n9635,0,14,True,2,True,-211,,True
159,L14n9876,L14n9876,0,14,True,2,True,-91,,True
166,L14n11107,L14n11107,0,14,True,2,True,-211,,True
174,L14n11785,L14n11785,0,14,True,2,True,-175,,True
176,L14n11816,L14n11816,0,14,True,2,True,-175,,True
179,L14n11991,L14n11991,0,14,True,2,True,-175,,True
180,L14n12024,L14n12024,0,14,True,2,True,-175,,True
183,L14n12145,L14n12145,0,14,True,2,True,-143,,True
184,L14n12364,L14n12364,0,14,True,2,True,-303,,True
185,L14n12414,L14n12414,0,14,True,2,True,-71,,True
186,L14n12504,L14n12504,0,14,True,2,True,-143,,True
187,L14n12538,L14n12538,0,14,True,2,True,-143,,True
188,L14n12562,L14n12562,0,14,True,2,True,-303,,True
189,L14n12589,L14n12589,0,14,True,2,True,-71,,True
190,L14n12598,L14n12598,0,14,True,2,True,-143,,True
192,L14n12691,L14n12691,0,14,True,2,True,-167,,True
193,L14n12729,L14n12729,0,14,True,2,True,-239,,True
194,L14n12796,L14n12796,0,14,True,2,True,-167,,True
195,L14n12805,L14n12805,0,14,True,2,True,-95,,True
196,L14n12876,L14n12876,0,14,True,2,True,-95,,True
197,L14n12883,L14n12883,0,14,True,2,True,-119,,True
198,L14n17869,L14n17869,0,14,True,2,True,-95,,True
199,L14n18026,L14n18026,0,14,True,2,True,-287,,True
200,L14n19768,L14n19768,0,14,True,2,True,-287,,True
201,L14n23729,L14n23729,0,14,True,2,True,-279,,True
212,L14n25069,L14n25069,0,14,True,2,True,41,,True
222,L14n26236,L14n26236,0,14,True,2,True,-23,,True
224,L14n26677,L14n26677,0,14,True,2,True,-159,,True
226,L14n26908,L14n26908,0,14,True,2,True,-95,,True
230,L14n27317,L14n27317,0,14,True,2,True,77,,True
233,L14n28013,L14n28013,0,14,True,2,True,-63,,True
234,L14n28016,L14n28016,0,14,True,2,True,-63,,True
236,L14n28630,L14n28630,0,14,True,2,True,-119,,True
237,L14n28631,L14n28631,0,14,True,2,True,-119,,True
238,L14n28635,L14n28635,0,14,True,2,True,-119,,True
240,L14n28716,L14n28716,0,14,True,2,True,-51,,True
241,L14n28754,L14n28754,0,14,True,2,True,-191,,True
243,L14n29289,L14n29289,0,14,True,2,True,-351,,True
247,L14n30011,L14n30011,0,14,True,2,True,-191,,True
248,L14n30012,L14n30012,0,14,True,2,True,-191,,True
252,L14n30097,L14n30097,0,14,True,2,True,-215,,True
253,L14n30103,L14n30103,0,14,True,2,True,-215,,True
254,L14n30107,L14n30107,0,14,True,2,True,-215,,True
256,L14n30116,L14n30116,0,14,True,2,True,-191,,True
260,L14n30250,L14n30250,0,14,True,2,True,-215,,True
261,L14n30442,L14n30442,0,14,True,2,True,-215,,True
266,L14n30754,L14n30754,0,14,True,2,True,-87,,True
267,L14n30755,L14n30755,0,14,True,2,True,9,,True
268,L14n30756,L14n30756,0,14,True,2,True,105,,True
280,L14n31138,L14n31138,0,14,True,2,True,-211,,True
281,L14n31149,L14n31149,0,14,True,2,True,101,,True
293,L14n31329,L14n31329,0,14,True,2,True,-59,,True
294,L14n31330,L14n31330,0,14,True,2,True,69,,True
300,L14n31386,L14n31386,0,14,True,2,True,-91,,True
314,L14n31985,L14n31985,0,14,True,2,True,-191,,True
318,L14n32153,L14n32153,0,14,True,2,True,97,,True
319,L14n32154,L14n32154,0,14,True,2,True,-95,,True
320,L14n32155,L14n32155,0,14,True,2,True,-91,,True
321,L14n32156,L14n32156,0,14,True,2,True,101,,True
332,L14n33264,L14n33264,0,14,True,2,True,-127,,True
333,L14n33395,L14n33395,0,14,True,2,True,-191,,True
334,L14n33400,L14n33400,0,14,True,2,True,-191,,True
336,L14n33764,L14n33764,0,14,True,2,True,-191,,True
337,L14n33772,L14n33772,0,14,True,2,True,-191,,True
338,L14n33803,L14n33803,0,14,True,2,True,65,,True
343,L14n34637,L14n34637,0,14,True,2,True,-191,,True
351,L14n36374,L14n36374,0,14,True,2,True,-123,,True
358,L14n37664,L14n37664,0,14,True,2,True,-191,,True
359,L14n37692,L14n37692,0,14,True,2,True,-159,,True
360,L14n37694,L14n37694,0,14,True,2,True,161,,True
364,L14n37993,L14n37993,0,14,True,2,True,97,,True
366,L14n38074,L14n38074,0,14,True,2,True,-95,,True
367,L14n38233,L14n38233,0,14,True,2,True,-95,,True
370,L14n38362,L14n38362,0,14,True,2,True,-95,,True
371,L14n38364,L14n38364,0,14,True,2,True,-287,,True
373,L14n38409,L14n38409,0,14,True,2,True,-287,,True
374,L14n38410,L14n38410,0,14,True,2,True,-287,,True
375,L14n38511,L14n38511,0,14,True,2,True,-239,,True
376,L14n38526,L14n38526,0,14,True,2,True,-239,,True
377,L14n38799,L14n38799,0,14,True,2,True,-287,,True
378,L14n38879,L14n38879,0,14,True,2,True,-287,,True
379,L14n38901,L14n38901,0,14,True,2,True,-143,,True
383,L14n38940,L14n38940,0,14,True,2,True,41,,True
384,L14n38954,L14n38954,0,14,True,2,True,-23,,True
386,L14n39041,L14n39041,0,14,True,2,True,-55,,True
387,L14n39045,L14n39045,0,14,True,2,True,73,,True
394,L14n39113,L14n39113,0,14,True,2,True,-119,,True
395,L14n39200,L14n39200,0,14,True,2,True,-351,,True
396,L14n39205,L14n39205,0,14,True,2,True,-167,,True
397,L14n39209,L14n39209,0,14,True,2,True,-167,,True
402,L14n39328,L14n39328,0,14,True,2,True,41,,True
403,L14n39366,L14n39366,0,14,True,2,True,-71,,True
404,L14n39377,L14n39377,0,14,True,2,True,-143,,True
405,L14n39390,L14n39390,0,14,True,2,True,-215,,True
406,L14n39451,L14n39451,0,14,True,2,True,-279,,True
407,L14n39497,L14n39497,0,14,True,2,True,-215,,True
408,L14n39517,L14n39517,0,14,True,2,True,-215,,True
409,L14n39520,L14n39520,0,14,True,2,True,-215,,True
410,L14n39525,L14n39525,0,14,True,2,True,-215,,True
411,L14n39624,L14n39624,0,14,True,2,True,161,,True
412,L14n39802,L14n39802,0,14,True,2,True,-95,,True
413,L14n39804,L14n39804,0,14,True,2,True,-287,,True
414,L14n39807,L14n39807,0,14,True,2,True,-287,,True
415,L14n39822,L14n39822,0,14,True,2,True,-87,,True
416,L14n39871,L14n39871,0,14,True,2,True,-287,,True
418,L14n39921,L14n39921,0,14,True,2,True,-95,,True
419,L14n39958,L14n39958,0,14,True,2,True,-23,,True
421,L14n39967,L14n39967,0,14,True,2,True,-95,,True
427,L14n40013,L14n40013,0,14,True,2,True,-95,,True
430,L14n52847,L14n52847,0,14,True,3,True,73,,True
431,L14n52922,L14n52922,0,14,True,3,True,73,,True
432,L14n52934,L14n52934,0,14,True,3,True,73,,True
433,L14n53120,L14n53120,0,14,True,3,True,73,,True
434,L14n53143,L14n53143,0,14,True,3,True,73,,True
