,name_unoriented,matrix_zero,components,jones_factorable,jones_determinant,smooth_four_genus
L10n32,L10n32,True,2,True,-23,
L10n36,L10n36,True,2,True,-23,
L10n56,L10n56,True,2,True,17,
L10n57,L10n57,True,2,True,-15,
L10n59,L10n59,True,2,True,-23,
L11n218,L11n218,True,2,True,-19,
L11n226,L11n226,True,2,True,13,
L11n244,L11n244,True,2,True,33,
L11n247,L11n247,True,2,True,-31,
L12n84,L12n84,True,2,True,-23,
L12n399,L12n399,True,2,True,-71,
L12n418,L12n418,True,2,True,-71,
L12n467,L12n467,True,2,True,69,
L12n508,L12n508,True,2,True,69,
L12n520,L12n520,True,2,True,-71,
L12n529,L12n529,True,2,True,-71,
L12n544,L12n544,True,2,True,-43,
L12n545,L12n545,True,2,True,45,
L12n564,L12n564,True,2,True,45,
L12n817,L12n817,True,2,True,-95,
L12n910,L12n910,True,2,True,-95,
L12n1040,L12n1040,True,2,True,21,
L12n1095,L12n1095,True,2,True,-11,
L12n1109,L12n1109,True,2,True,-47,
L12n1180,L12n1180,True,2,True,-63,
L12n1181,L12n1181,True,2,True,-63,
L12n1199,L12n1199,True,2,True,-35,
L12n1200,L12n1200,True,2,True,33,
L12n1201,L12n1201,True,2,True,29,
L12n1202,L12n1202,True,2,True,-31,
L12n1242,L12n1242,True,2,True,-35,
L12n1249,L12n1249,True,2,True,-19,
L12n1252,L12n1252,True,2,True,13,
L12n1257,L12n1257,True,2,True,29,
L12n1272,L12n1272,True,2,True,49,
L12n1273,L12n1273,True,2,True,-47,
L12n1299,L12n1299,True,2,True,-47,
L12n1300,L12n1300,True,2,True,49,
L12n1327,L12n1327,True,2,True,-63,
L12n1333,L12n1333,True,2,True,-71,
L12n1375,L12n1375,True,2,True,-95,
L13n118,L13n118,True,2,True,-23,
L13n754,L13n754,True,2,True,-119,
L13n759,L13n759,True,2,True,-119,
L13n760,L13n760,True,2,True,-119,
L13n1091,L13n1091,True,2,True,-119,
L13n1488,L13n1488,True,2,True,-143,
L13n1494,L13n1494,True,2,True,-143,
L13n1627,L13n1627,True,2,True,-115,
L13n1704,L13n1704,True,2,True,-143,
L13n1707,L13n1707,True,2,True,-143,
L13n1806,L13n1806,True,2,True,-115,
L13n1999,L13n1999,True,2,True,-115,
L13n2010,L13n2010,True,2,True,-115,
L13n2040,L13n2040,True,2,True,89,
L13n2050,L13n2050,True,2,True,-87,
L13n2061,L13n2061,True,2,True,117,
L13n2150,L13n2150,True,2,True,89,
L13n2151,L13n2151,True,2,True,-87,
L13n2360,L13n2360,True,2,True,117,
L13n2407,L13n2407,True,2,True,-119,
L13n2421,L13n2421,True,2,True,-87,
L13n2430,L13n2430,True,2,True,-87,
L13n2490,L13n2490,True,2,True,117,
L13n2538,L13n2538,True,2,True,-163,
L13n3056,L13n3056,True,2,True,-95,
L13n4518,L13n4518,True,2,True,-23,
L13n4524,L13n4524,True,2,True,9,
L13n4821,L13n4821,True,2,True,-95,
L13n4994,L13n4994,True,2,True,37,
L13n4999,L13n4999,True,2,True,-39,
L13n5076,L13n5076,True,2,True,53,
L13n5153,L13n5153,True,2,True,-27,
L13n5154,L13n5154,True,2,True,25,
L13n5227,L13n5227,True,2,True,-115,
L13n5255,L13n5255,True,2,True,-55,
L13n5314,L13n5314,True,2,True,-43,
L13n5341,L13n5341,True,2,True,81,
L13n5365,L13n5365,True,2,True,41,
L13n5426,L13n5426,True,2,True,69,
L13n5427,L13n5427,True,2,True,-67,
L13n5443,L13n5443,True,2,True,-59,
L13n5444,L13n5444,True,2,True,61,
L13n5538,L13n5538,True,2,True,117,
L13n5556,L13n5556,True,2,True,37,
L13n5584,L13n5584,True,2,True,53,
L13n5588,L13n5588,True,2,True,-43,
L13n5616,L13n5616,True,2,True,-27,
L13n5626,L13n5626,True,2,True,-59,
L13n5630,L13n5630,True,2,True,-83,
L13n5631,L13n5631,True,2,True,77,
L13n5633,L13n5633,True,2,True,61,
L13n5636,L13n5636,True,2,True,-67,
L13n5639,L13n5639,True,2,True,65,
L13n5686,L13n5686,True,2,True,61,
L13n5689,L13n5689,True,2,True,-63,
L13n5772,L13n5772,True,2,True,81,
L13n5773,L13n5773,True,2,True,-79,
L13n6355,L13n6355,True,2,True,61,
L13n6360,L13n6360,True,2,True,-63,
L13n6376,L13n6376,True,2,True,-51,
L13n6378,L13n6378,True,2,True,45,
L13n6435,L13n6435,True,2,True,77,
L13n6535,L13n6535,True,2,True,97,
L13n6537,L13n6537,True,2,True,-95,
L14n435,L14n435,True,2,True,45,
L14n436,L14n436,True,2,True,-43,
L14n702,L14n702,True,2,True,69,
L14n756,L14n756,True,2,True,-71,
L14n771,L14n771,True,2,True,69,
L14n1004,L14n1004,True,2,True,-23,
L14n1449,L14n1449,True,2,True,-71,
L14n1619,L14n1619,True,2,True,-43,
L14n1621,L14n1621,True,2,True,45,
L14n1639,L14n1639,True,2,True,-71,
L14n6154,L14n6154,True,2,True,-239,
L14n6168,L14n6168,True,2,True,-71,
L14n6507,L14n6507,True,2,True,213,
L14n6558,L14n6558,True,2,True,-167,
L14n6620,L14n6620,True,2,True,-95,
L14n6789,L14n6789,True,2,True,-95,
L14n6832,L14n6832,True,2,True,-71,
L14n6985,L14n6985,True,2,True,213,
L14n7118,L14n7118,True,2,True,-239,
L14n7191,L14n7191,True,2,True,161,
L14n7239,L14n7239,True,2,True,-143,
L14n7259,L14n7259,True,2,True,213,
L14n7360,L14n7360,True,2,True,-71,
L14n7392,L14n7392,True,2,True,-143,
L14n7407,L14n7407,True,2,True,-239,
L14n7993,L14n7993,True,2,True,161,
L14n7998,L14n7998,True,2,True,-115,
L14n8002,L14n8002,True,2,True,161,
L14n8183,L14n8183,True,2,True,-239,
L14n8455,L14n8455,True,2,True,-115,
L14n8458,L14n8458,True,2,True,161,
L14n8537,L14n8537,True,2,True,-143,
L14n8543,L14n8543,True,2,True,-239,
L14n8637,L14n8637,True,2,True,213,
L14n8692,L14n8692,True,2,True,213,
L14n8736,L14n8736,True,2,True,-143,
L14n8789,L14n8789,True,2,True,213,
L14n8793,L14n8793,True,2,True,-239,
L14n8803,L14n8803,True,2,True,-167,
L14n8810,L14n8810,True,2,True,1,
L14n8835,L14n8835,True,2,True,-239,
L14n9056,L14n9056,True,2,True,213,
L14n9059,L14n9059,True,2,True,213,
L14n9080,L14n9080,True,2,True,-207,
L14n9085,L14n9085,True,2,True,161,
L14n9115,L14n9115,True,2,True,-207,
L14n9117,L14n9117,True,2,True,161,
L14n9123,L14n9123,True,2,True,213,
L14n9128,L14n9128,True,2,True,213,
L14n9145,L14n9145,True,2,True,-115,
L14n9152,L14n9152,True,2,True,-115,
L14n9156,L14n9156,True,2,True,161,
L14n9177,L14n9177,True,2,True,161,
L14n9268,L14n9268,True,2,True,-47,
L14n9282,L14n9282,True,2,True,41,
L14n9290,L14n9290,True,2,True,-91,
L14n9333,L14n9333,True,2,True,85,
L14n9390,L14n9390,True,2,True,-71,
L14n9415,L14n9415,True,2,True,-131,
L14n9416,L14n9416,True,2,True,133,
L14n9446,L14n9446,True,2,True,-71,
L14n9635,L14n9635,True,2,True,-211,
L14n9752,L14n9752,True,2,True,117,
L14n9876,L14n9876,True,2,True,-91,
L14n9883,L14n9883,True,2,True,85,
L14n10047,L14n10047,True,2,True,-47,
L14n10048,L14n10048,True,2,True,41,
L14n10052,L14n10052,True,2,True,133,
L14n10053,L14n10053,True,2,True,-131,
L14n10461,L14n10461,True,2,True,-119,
L14n11107,L14n11107,True,2,True,-211,
L14n11214,L14n11214,True,2,True,-119,
L14n11315,L14n11315,True,2,True,117,
L14n11478,L14n11478,True,2,True,129,
L14n11479,L14n11479,True,2,True,-135,
L14n11488,L14n11488,True,2,True,-135,
L14n11489,L14n11489,True,2,True,129,
L14n11685,L14n11685,True,2,True,177,
L14n11785,L14n11785,True,2,True,-175,
L14n11815,L14n11815,True,2,True,-131,
L14n11816,L14n11816,True,2,True,-175,
L14n11817,L14n11817,True,2,True,177,
L14n11855,L14n11855,True,2,True,-131,
L14n11991,L14n11991,True,2,True,-175,
L14n12024,L14n12024,True,2,True,-175,
L14n12116,L14n12116,True,2,True,257,
L14n12131,L14n12131,True,2,True,117,
L14n12145,L14n12145,True,2,True,-143,
L14n12364,L14n12364,True,2,True,-303,
L14n12414,L14n12414,True,2,True,-71,
L14n12504,L14n12504,True,2,True,-143,
L14n12538,L14n12538,True,2,True,-143,
L14n12562,L14n12562,True,2,True,-303,
L14n12589,L14n12589,True,2,True,-71,
L14n12598,L14n12598,True,2,True,-143,
L14n12612,L14n12612,True,2,True,257,
L14n12691,L14n12691,True,2,True,-167,
L14n12729,L14n12729,True,2,True,-239,
L14n12796,L14n12796,True,2,True,-167,
L14n12805,L14n12805,True,2,True,-95,
L14n12876,L14n12876,True,2,True,-95,
L14n12883,L14n12883,True,2,True,-119,
L14n17869,L14n17869,True,2,True,-95,
L14n18026,L14n18026,True,2,True,-287,
L14n19768,L14n19768,True,2,True,-287,
L14n23729,L14n23729,True,2,True,-279,
L14n23784,L14n23784,True,2,True,-71,
L14n24046,L14n24046,True,2,True,69,
L14n24426,L14n24426,True,2,True,-7,
L14n24427,L14n24427,True,2,True,25,
L14n24461,L14n24461,True,2,True,-67,
L14n24652,L14n24652,True,2,True,93,
L14n24914,L14n24914,True,2,True,45,
L14n24991,L14n24991,True,2,True,61,
L14n24998,L14n24998,True,2,True,-59,
L14n25064,L14n25064,True,2,True,-43,
L14n25069,L14n25069,True,2,True,41,
L14n25100,L14n25100,True,2,True,-43,
L14n25175,L14n25175,True,2,True,69,
L14n25286,L14n25286,True,2,True,-71,
L14n26023,L14n26023,True,2,True,253,
L14n26057,L14n26057,True,2,True,93,
L14n26105,L14n26105,True,2,True,137,
L14n26107,L14n26107,True,2,True,-139,
L14n26149,L14n26149,True,2,True,109,
L14n26235,L14n26235,True,2,True,21,
L14n26236,L14n26236,True,2,True,-23,
L14n26301,L14n26301,True,2,True,-107,
L14n26677,L14n26677,True,2,True,-159,
L14n26700,L14n26700,True,2,True,-107,
L14n26908,L14n26908,True,2,True,-95,
L14n27259,L14n27259,True,2,True,-35,
L14n27263,L14n27263,True,2,True,37,
L14n27313,L14n27313,True,2,True,-75,
L14n27317,L14n27317,True,2,True,77,
L14n27343,L14n27343,True,2,True,-143,
L14n27915,L14n27915,True,2,True,-91,
L14n28013,L14n28013,True,2,True,-63,
L14n28016,L14n28016,True,2,True,-63,
L14n28398,L14n28398,True,2,True,-119,
L14n28630,L14n28630,True,2,True,-119,
L14n28631,L14n28631,True,2,True,-119,
L14n28635,L14n28635,True,2,True,-119,
L14n28715,L14n28715,True,2,True,53,
L14n28716,L14n28716,True,2,True,-51,
L14n28754,L14n28754,True,2,True,-191,
L14n28936,L14n28936,True,2,True,-167,
L14n29289,L14n29289,True,2,True,-351,
L14n29366,L14n29366,True,2,True,89,
L14n29787,L14n29787,True,2,True,-115,
L14n29939,L14n29939,True,2,True,69,
L14n30011,L14n30011,True,2,True,-191,
L14n30012,L14n30012,True,2,True,-191,
L14n30020,L14n30020,True,2,True,-143,
L14n30032,L14n30032,True,2,True,-143,
L14n30054,L14n30054,True,2,True,-143,
L14n30097,L14n30097,True,2,True,-215,
L14n30103,L14n30103,True,2,True,-215,
L14n30107,L14n30107,True,2,True,-215,
L14n30108,L14n30108,True,2,True,-171,
L14n30116,L14n30116,True,2,True,-191,
L14n30127,L14n30127,True,2,True,-99,
L14n30128,L14n30128,True,2,True,-27,
L14n30180,L14n30180,True,2,True,-71,
L14n30250,L14n30250,True,2,True,-215,
L14n30442,L14n30442,True,2,True,-215,
L14n30629,L14n30629,True,2,True,-103,
L14n30630,L14n30630,True,2,True,101,
L14n30752,L14n30752,True,2,True,89,
L14n30753,L14n30753,True,2,True,-91,
L14n30754,L14n30754,True,2,True,-87,
L14n30755,L14n30755,True,2,True,9,
L14n30756,L14n30756,True,2,True,105,
L14n30779,L14n30779,True,2,True,53,
L14n30780,L14n30780,True,2,True,-87,
L14n30781,L14n30781,True,2,True,-83,
L14n30782,L14n30782,True,2,True,49,
L14n30783,L14n30783,True,2,True,-43,
L14n30784,L14n30784,True,2,True,73,
L14n30785,L14n30785,True,2,True,-39,
L14n30786,L14n30786,True,2,True,57,
L14n30788,L14n30788,True,2,True,77,
L14n30789,L14n30789,True,2,True,-47,
L14n31090,L14n31090,True,2,True,257,
L14n31138,L14n31138,True,2,True,-211,
L14n31149,L14n31149,True,2,True,101,
L14n31168,L14n31168,True,2,True,-39,
L14n31181,L14n31181,True,2,True,-103,
L14n31231,L14n31231,True,2,True,73,
L14n31232,L14n31232,True,2,True,-87,
L14n31255,L14n31255,True,2,True,21,
L14n31264,L14n31264,True,2,True,-55,
L14n31284,L14n31284,True,2,True,41,
L14n31288,L14n31288,True,2,True,-11,
L14n31302,L14n31302,True,2,True,25,
L14n31315,L14n31315,True,2,True,57,
L14n31316,L14n31316,True,2,True,-71,
L14n31329,L14n31329,True,2,True,-59,
L14n31330,L14n31330,True,2,True,69,
L14n31371,L14n31371,True,2,True,89,
L14n31375,L14n31375,True,2,True,117,
L14n31376,L14n31376,True,2,True,-107,
L14n31378,L14n31378,True,2,True,-91,
L14n31381,L14n31381,True,2,True,89,
L14n31386,L14n31386,True,2,True,-91,
L14n31394,L14n31394,True,2,True,133,
L14n31396,L14n31396,True,2,True,-131,
L14n31585,L14n31585,True,2,True,-43,
L14n31593,L14n31593,True,2,True,73,
L14n31598,L14n31598,True,2,True,-115,
L14n31599,L14n31599,True,2,True,109,
L14n31601,L14n31601,True,2,True,77,
L14n31605,L14n31605,True,2,True,81,
L14n31606,L14n31606,True,2,True,-79,
L14n31608,L14n31608,True,2,True,-47,
L14n31612,L14n31612,True,2,True,-123,
L14n31615,L14n31615,True,2,True,125,
L14n31886,L14n31886,True,2,True,61,
L14n31985,L14n31985,True,2,True,-191,
L14n32037,L14n32037,True,2,True,-115,
L14n32038,L14n32038,True,2,True,109,
L14n32145,L14n32145,True,2,True,-143,
L14n32153,L14n32153,True,2,True,97,
L14n32154,L14n32154,True,2,True,-95,
L14n32155,L14n32155,True,2,True,-91,
L14n32156,L14n32156,True,2,True,101,
L14n32388,L14n32388,True,2,True,137,
L14n32416,L14n32416,True,2,True,-143,
L14n32465,L14n32465,True,2,True,-143,
L14n32566,L14n32566,True,2,True,77,
L14n32567,L14n32567,True,2,True,-83,
L14n32568,L14n32568,True,2,True,-111,
L14n32569,L14n32569,True,2,True,113,
L14n32634,L14n32634,True,2,True,125,
L14n32635,L14n32635,True,2,True,109,
L14n33194,L14n33194,True,2,True,-143,
L14n33264,L14n33264,True,2,True,-127,
L14n33395,L14n33395,True,2,True,-191,
L14n33400,L14n33400,True,2,True,-191,
L14n33541,L14n33541,True,2,True,145,
L14n33764,L14n33764,True,2,True,-191,
L14n33772,L14n33772,True,2,True,-191,
L14n33803,L14n33803,True,2,True,65,
L14n33870,L14n33870,True,2,True,-143,
L14n34012,L14n34012,True,2,True,125,
L14n34021,L14n34021,True,2,True,-83,
L14n34422,L14n34422,True,2,True,81,
L14n34637,L14n34637,True,2,True,-191,
L14n34651,L14n34651,True,2,True,-79,
L14n34747,L14n34747,True,2,True,189,
L14n34772,L14n34772,True,2,True,189,
L14n34885,L14n34885,True,2,True,189,
L14n34897,L14n34897,True,2,True,189,
L14n36150,L14n36150,True,2,True,-43,
L14n36151,L14n36151,True,2,True,53,
L14n36374,L14n36374,True,2,True,-123,
L14n36378,L14n36378,True,2,True,125,
L14n36691,L14n36691,True,2,True,-107,
L14n37006,L14n37006,True,2,True,-143,
L14n37092,L14n37092,True,2,True,-143,
L14n37097,L14n37097,True,2,True,109,
L14n37100,L14n37100,True,2,True,-79,
L14n37664,L14n37664,True,2,True,-191,
L14n37692,L14n37692,True,2,True,-159,
L14n37694,L14n37694,True,2,True,161,
L14n37905,L14n37905,True,2,True,-147,
L14n37907,L14n37907,True,2,True,141,
L14n37992,L14n37992,True,2,True,-99,
L14n37993,L14n37993,True,2,True,97,
L14n38071,L14n38071,True,2,True,93,
L14n38074,L14n38074,True,2,True,-95,
L14n38233,L14n38233,True,2,True,-95,
L14n38266,L14n38266,True,2,True,-143,
L14n38271,L14n38271,True,2,True,-143,
L14n38362,L14n38362,True,2,True,-95,
L14n38364,L14n38364,True,2,True,-287,
L14n38403,L14n38403,True,2,True,-207,
L14n38409,L14n38409,True,2,True,-287,
L14n38410,L14n38410,True,2,True,-287,
L14n38511,L14n38511,True,2,True,-239,
L14n38526,L14n38526,True,2,True,-239,
L14n38799,L14n38799,True,2,True,-287,
L14n38879,L14n38879,True,2,True,-287,
L14n38901,L14n38901,True,2,True,-143,
L14n38932,L14n38932,True,2,True,-71,
L14n38934,L14n38934,True,2,True,-7,
L14n38935,L14n38935,True,2,True,25,
L14n38940,L14n38940,True,2,True,41,
L14n38954,L14n38954,True,2,True,-23,
L14n38979,L14n38979,True,2,True,89,
L14n39041,L14n39041,True,2,True,-55,
L14n39045,L14n39045,True,2,True,73,
L14n39048,L14n39048,True,2,True,61,
L14n39051,L14n39051,True,2,True,-67,
L14n39058,L14n39058,True,2,True,-71,
L14n39091,L14n39091,True,2,True,141,
L14n39104,L14n39104,True,2,True,-99,
L14n39106,L14n39106,True,2,True,93,
L14n39113,L14n39113,True,2,True,-119,
L14n39200,L14n39200,True,2,True,-351,
L14n39205,L14n39205,True,2,True,-167,
L14n39209,L14n39209,True,2,True,-167,
L14n39222,L14n39222,True,2,True,-119,
L14n39252,L14n39252,True,2,True,253,
L14n39282,L14n39282,True,2,True,-67,
L14n39323,L14n39323,True,2,True,-35,
L14n39328,L14n39328,True,2,True,41,
L14n39366,L14n39366,True,2,True,-71,
L14n39377,L14n39377,True,2,True,-143,
L14n39390,L14n39390,True,2,True,-215,
L14n39451,L14n39451,True,2,True,-279,
L14n39497,L14n39497,True,2,True,-215,
L14n39517,L14n39517,True,2,True,-215,
L14n39520,L14n39520,True,2,True,-215,
L14n39525,L14n39525,True,2,True,-215,
L14n39624,L14n39624,True,2,True,161,
L14n39802,L14n39802,True,2,True,-95,
L14n39804,L14n39804,True,2,True,-287,
L14n39807,L14n39807,True,2,True,-287,
L14n39822,L14n39822,True,2,True,-87,
L14n39871,L14n39871,True,2,True,-287,
L14n39896,L14n39896,True,2,True,-143,
L14n39921,L14n39921,True,2,True,-95,
L14n39958,L14n39958,True,2,True,-23,
L14n39962,L14n39962,True,2,True,29,
L14n39967,L14n39967,True,2,True,-95,
L14n39970,L14n39970,True,2,True,-51,
L14n39971,L14n39971,True,2,True,45,
L14n39981,L14n39981,True,2,True,93,
L14n39992,L14n39992,True,2,True,-143,
L14n39993,L14n39993,True,2,True,145,
L14n40013,L14n40013,True,2,True,-95,
L14n40045,L14n40045,True,2,True,81,
L14n40047,L14n40047,True,2,True,81,
L14n52847,L14n52847,True,3,True,73,
L14n52922,L14n52922,True,3,True,73,
L14n52934,L14n52934,True,3,True,73,
L14n53120,L14n53120,True,3,True,73,
L14n53143,L14n53143,True,3,True,73,
